agency,location,project_title,year,project_link,award_status,file_type,latitude,longitude,formatted_address,place_id,types,street_number,route,locality,sublocality,administrative_area_level_1,administrative_area_level_2,country,postal_code
Cleveland Police,United Kingdom,Operation Auckland,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-07.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,The Neighbourhood Task Group,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-08.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Operation Royal,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-09.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Operation Strongbow: Tackling Bogus Offending,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-10.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Operation Victoria,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-11.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Community Safety Partnership,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-12.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Operation ABC: Acceptable Behavior Campaign,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-52.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Operation Magpie,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-53.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,"Repeat Victimisation, Domestic Burglary Project",2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-54.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Hartlepool School Watch Scheme,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-09.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Reach for Success,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-14.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Cleveland Police,United Kingdom,Raby Rebels Youth Project,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-15.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Colombia National Police,Colombia,"Implementation Management and Operational Model for the ""Bronx"" Street",2013,https://popcenter.asu.edu/sites/default/files/13-32_bogota_colombia.pdf,Submission,pdf,4.570868,-74.297333,Colombia,ChIJo5QVrjqkFY4RQKPy7wSaDZo,"country,political",,,,,,,Colombia,
Colorado Springs Police Department,"Colorado, USA",Homeless Outreach Team,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-37(W).pdf,Submission,pdf,38.8242393,-104.8218762,"705 S Nevada Ave, Colorado Springs, CO 80903, USA",ChIJ0YQ-wCpFE4cRQjBSsl5f0wk,"establishment,point_of_interest,police",705,South Nevada Avenue,Colorado Springs,,Colorado,El Paso County,United States,80903
Colorado Springs Police Department,"Colorado, USA",Acacia Park Police Service Center,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-08.pdf,Submission,pdf,38.8242393,-104.8218762,"705 S Nevada Ave, Colorado Springs, CO 80903, USA",ChIJ0YQ-wCpFE4cRQjBSsl5f0wk,"establishment,point_of_interest,police",705,South Nevada Avenue,Colorado Springs,,Colorado,El Paso County,United States,80903
Colorado Springs Police Department,"Colorado, USA",Pikes Peak Retail Security Association,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-09.pdf,Submission,pdf,38.8242393,-104.8218762,"705 S Nevada Ave, Colorado Springs, CO 80903, USA",ChIJ0YQ-wCpFE4cRQjBSsl5f0wk,"establishment,point_of_interest,police",705,South Nevada Avenue,Colorado Springs,,Colorado,El Paso County,United States,80903
Colorado Springs Police Department,"Colorado, USA",HotelMotel Interdiction Program,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-10.pdf,Submission,pdf,38.8242393,-104.8218762,"705 S Nevada Ave, Colorado Springs, CO 80903, USA",ChIJ0YQ-wCpFE4cRQjBSsl5f0wk,"establishment,point_of_interest,police",705,South Nevada Avenue,Colorado Springs,,Colorado,El Paso County,United States,80903
Colorado Springs Police Department,"Colorado, USA",Apartment Managers Hotline Program,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-16.pdf,Submission,pdf,38.8242393,-104.8218762,"705 S Nevada Ave, Colorado Springs, CO 80903, USA",ChIJ0YQ-wCpFE4cRQjBSsl5f0wk,"establishment,point_of_interest,police",705,South Nevada Avenue,Colorado Springs,,Colorado,El Paso County,United States,80903
Colorado Springs Police Department,"Colorado, USA",Neighborhood Traffic Unit,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-16.pdf,Submission,pdf,38.8242393,-104.8218762,"705 S Nevada Ave, Colorado Springs, CO 80903, USA",ChIJ0YQ-wCpFE4cRQjBSsl5f0wk,"establishment,point_of_interest,police",705,South Nevada Avenue,Colorado Springs,,Colorado,El Paso County,United States,80903
Concord Police Department,"California, USA",Ranch Reintegration Program,2000,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2000/00-06.pdf,Submission,pdf,37.9779776,-122.0310733,"Concord, CA, USA",ChIJhczEaaxghYAR7_8flgRgQQ4,"locality,political",,,Concord,,California,Contra Costa County,United States,
Connecticut State Police,USA,Windham Heights Youth and Community Outreach Program and Services,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-14.pdf,Submission,pdf,41.6032207,-73.087749,"Connecticut, USA",ChIJpVER8hFT5okR5XBhBVttmq4,"administrative_area_level_1,political",,,,,Connecticut,,United States,
Conroe Police Department,"Texas, USA",2006 Drug Initiative,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-15.pdf,Submission,pdf,30.3402083,-95.475406,"2300 Plantation Dr, Conroe, TX 77301, USA",ChIJXzn75EU5R4YRohW_KqgWcyk,"establishment,point_of_interest,police",2300,Plantation Drive,Conroe,,Texas,Montgomery County,United States,77301
Coral Springs Police Department,"Florida, USA",The Forest Hills Boulevard Initiative,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-10.pdf,Submission,pdf,26.2641322,-80.2650774,"2801 Coral Springs Dr, Coral Springs, FL 33065, USA",ChIJf7gNsVoF2YgRc9_qMHAg18U,"establishment,local_government_office,point_of_interest,police",2801,Coral Springs Drive,Coral Springs,,Florida,Broward County,United States,33065
Cordele Police Department,"Georgia, USA",Dashing the Cordele Easter Bash,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-05.pdf,Submission,pdf,31.9635074,-83.7823938,"Cordele, GA 31015, USA",ChIJs_vRjDM78ogRKBrt9je16Xs,"locality,political",,,Cordele,,Georgia,Crisp County,United States,31015
Corvallis Police Department,"Oregon, USA",Central Park: Addressing Community Livability in Partnership with the Homeless,2019,https://popcenter.asu.edu/sites/default/files/19-07_corvallis_or_central_park.pdf,Submission,pdf,44.5645659,-123.2620435,"Corvallis, OR, USA",ChIJfdcUqp1AwFQRvsC9Io-ADdc,"locality,political",,,Corvallis,,Oregon,Benton County,United States,
Corvallis Police Department,"Oregon, USA",Targeting Alcohol Use and Abuse to Reduce Crime in a University Town,2018,https://popcenter.asu.edu/sites/default/files/18-06_corvallis.pdf,Finalist,pdf,44.5645659,-123.2620435,"Corvallis, OR, USA",ChIJfdcUqp1AwFQRvsC9Io-ADdc,"locality,political",,,Corvallis,,Oregon,Benton County,United States,
Corvallis Police Department,"Oregon, USA",Community Livability: Reducing Neighborhood Conflicts in a College Town,2016,https://popcenter.asu.edu/sites/default/files/16-12_corvallis.pdf,Submission,pdf,44.5645659,-123.2620435,"Corvallis, OR, USA",ChIJfdcUqp1AwFQRvsC9Io-ADdc,"locality,political",,,Corvallis,,Oregon,Benton County,United States,
Covington Police Department,"Kentucky, USA",Westside Neighborhood Revitalization Initiative,2015,https://live-cpop.ws.asu.edu/sites/default/files/org/15-12_covington.pdf,Submission,pdf,39.0672624,-84.5062551,"1 Police Memorial Dr, Covington, KY 41014, USA",ChIJNyRAqCCxQYgRXAr3h8YzkUs,"establishment,point_of_interest",1,Police Memorial Drive,Covington,,Kentucky,Kenton County,United States,41014
Cuyahoga Metropolitan Housing Authority Police Department,"Cleveland, Ohio, USA",Police Assisted Referral,2016,https://popcenter.asu.edu/sites/default/files/16-22_cuyahoga_metropolitan_housing_authority.pdf,Submission,pdf,41.4883016,-81.6495727,"5715 Woodland Ave, Cleveland, OH 44104, USA",ChIJE8EJI_36MIgRl3rQEKzrr3Y,"establishment,point_of_interest,police",5715,Woodland Avenue,Cleveland,,Ohio,Cuyahoga County,United States,44104
Cuyahoga Metropolitan Housing Authority Police Department,"Cleveland, Ohio, USA",CMHAPD Police Assisted Referral Program,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-06.pdf,Submission,pdf,41.4883016,-81.6495727,"5715 Woodland Ave, Cleveland, OH 44104, USA",ChIJE8EJI_36MIgRl3rQEKzrr3Y,"establishment,point_of_interest,police",5715,Woodland Avenue,Cleveland,,Ohio,Cuyahoga County,United States,44104
Dayton Police Department,"Ohio, USA",Recovery Beyond Addiction,2019,https://popcenter.asu.edu/sites/default/files/19-08_dayton_oh_recovery_beyond_addiction.pdf,Submission,pdf,39.758872,-84.1978085,"335 W Third St, Dayton, OH 45402, USA",ChIJTzsGwl1NP4YRjGSaA0bXjbQ,"establishment,point_of_interest,police",335,West Third Street,Dayton,,Ohio,Montgomery County,United States,45402
Dayton Police Department,"Ohio, USA",Westwood Neighborhood Juvenile Crime Reduction and Recovery,2015,https://live-cpop.ws.asu.edu/sites/default/files/org/15-13_dayton.pdf,Submission,pdf,39.758872,-84.1978085,"335 W Third St, Dayton, OH 45402, USA",ChIJTzsGwl1NP4YRjGSaA0bXjbQ,"establishment,point_of_interest,police",335,West Third Street,Dayton,,Ohio,Montgomery County,United States,45402
Dayton Police Department,"Ohio, USA",The Downtown Engagement Project,2015,https://live-cpop.ws.asu.edu/sites/default/files/org/15-16_dayton.pdf,Submission,pdf,39.758872,-84.1978085,"335 W Third St, Dayton, OH 45402, USA",ChIJTzsGwl1NP4YRjGSaA0bXjbQ,"establishment,point_of_interest,police",335,West Third Street,Dayton,,Ohio,Montgomery County,United States,45402
Dayton Police Department,"Ohio, USA",Safe Oasis:Prostitution Reduction and Recovery Through Consumer Enforcement Strategies,2013,https://popcenter.asu.edu/sites/default/files/13-24_dayton_pd.pdf,Finalist,pdf,39.758872,-84.1978085,"335 W Third St, Dayton, OH 45402, USA",ChIJTzsGwl1NP4YRjGSaA0bXjbQ,"establishment,point_of_interest,police",335,West Third Street,Dayton,,Ohio,Montgomery County,United States,45402
Dayton Police Department,"Ohio, USA",The Safe Delivery Project,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-37.pdf,Submission,pdf,39.758872,-84.1978085,"335 W Third St, Dayton, OH 45402, USA",ChIJTzsGwl1NP4YRjGSaA0bXjbQ,"establishment,point_of_interest,police",335,West Third Street,Dayton,,Ohio,Montgomery County,United States,45402
Dayton Police Department,"Ohio, USA",The Urban High School Disorder Reduction Project,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-40(F).pdf,Submission,pdf,39.758872,-84.1978085,"335 W Third St, Dayton, OH 45402, USA",ChIJTzsGwl1NP4YRjGSaA0bXjbQ,"establishment,point_of_interest,police",335,West Third Street,Dayton,,Ohio,Montgomery County,United States,45402
Dayton Police Department,"Ohio, USA",Safer Bars for a Safer Community,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-52.pdf,Submission,pdf,39.758872,-84.1978085,"335 W Third St, Dayton, OH 45402, USA",ChIJTzsGwl1NP4YRjGSaA0bXjbQ,"establishment,point_of_interest,police",335,West Third Street,Dayton,,Ohio,Montgomery County,United States,45402
Dayton Police Department,"Ohio, USA","Metal Theft  A Major Problem in Dayton, Ohio; Identification and Reduction",2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-45.pdf,Submission,pdf,39.758872,-84.1978085,"335 W Third St, Dayton, OH 45402, USA",ChIJTzsGwl1NP4YRjGSaA0bXjbQ,"establishment,point_of_interest,police",335,West Third Street,Dayton,,Ohio,Montgomery County,United States,45402
Dayton Police Department,"Ohio, USA",Reclaiming the Corner of Chaos,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-20(F).pdf,Submission,pdf,39.758872,-84.1978085,"335 W Third St, Dayton, OH 45402, USA",ChIJTzsGwl1NP4YRjGSaA0bXjbQ,"establishment,point_of_interest,police",335,West Third Street,Dayton,,Ohio,Montgomery County,United States,45402
Dayton Police Department,"Ohio, USA",Operation Registration,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-12.pdf,Submission,pdf,39.758872,-84.1978085,"335 W Third St, Dayton, OH 45402, USA",ChIJTzsGwl1NP4YRjGSaA0bXjbQ,"establishment,point_of_interest,police",335,West Third Street,Dayton,,Ohio,Montgomery County,United States,45402
Dayton Police Department,"Ohio, USA",Departmentwide Community Oriented Policing,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-13.pdf,Submission,pdf,39.758872,-84.1978085,"335 W Third St, Dayton, OH 45402, USA",ChIJTzsGwl1NP4YRjGSaA0bXjbQ,"establishment,point_of_interest,police",335,West Third Street,Dayton,,Ohio,Montgomery County,United States,45402
Delray Beach Police Department,"Florida, USA",Federal Housing Project,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-17.pdf,Submission,pdf,26.4609043,-80.0764536,"300 W Atlantic Ave, Delray Beach, FL 33444, USA",ChIJ4wUQkuff2IgRjdqS1SPDCp8,"establishment,point_of_interest,police",300,West Atlantic Avenue,Delray Beach,,Florida,Palm Beach County,United States,33444
Delray Beach Police Department,"Florida, USA",Merritt Park Neighborhood,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-11.pdf,Submission,pdf,26.4609043,-80.0764536,"300 W Atlantic Ave, Delray Beach, FL 33444, USA",ChIJ4wUQkuff2IgRjdqS1SPDCp8,"establishment,point_of_interest,police",300,West Atlantic Avenue,Delray Beach,,Florida,Palm Beach County,United States,33444
Delray Beach Police Department,"Florida, USA",Marios Market Project,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-10.pdf,Submission,pdf,26.4609043,-80.0764536,"300 W Atlantic Ave, Delray Beach, FL 33444, USA",ChIJ4wUQkuff2IgRjdqS1SPDCp8,"establishment,point_of_interest,police",300,West Atlantic Avenue,Delray Beach,,Florida,Palm Beach County,United States,33444
Delta Police Department,"British Columbia, Canada",The Elite Arcade: Taming a Crime Generator,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-12(F).pdf,Submission,pdf,49.0952155,-123.0264759,"Delta, BC, Canada",ChIJtwKI2-H8hVQRm63IwyoFr-c,"locality,political",,,Delta,,British Columbia,Metro Vancouver,Canada,
Denver Police Department,"Colorado, USA",Denver Police Department Law Enforcement Advocate Program,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-53.pdf,Submission,pdf,39.7392358,-104.990251,"Denver, CO, USA",ChIJzxcfI6qAa4cR1jaKJ_j0jhE,"locality,political",,,Denver,,Colorado,Denver County,United States,
Denver Police Department,"Colorado, USA",Villa Park Apartment Complex,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-19.pdf,Submission,pdf,39.7392358,-104.990251,"Denver, CO, USA",ChIJzxcfI6qAa4cR1jaKJ_j0jhE,"locality,political",,,Denver,,Colorado,Denver County,United States,
Detroit Housing Commission,"Michigan, USA",The Simple Facts,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-13.pdf,Submission,pdf,42.3338167,-83.0342224,"1301 E Jefferson Ave, Detroit, MI 48207, USA",ChIJpSrxZtYsO4gRdqI_OqUck5c,"establishment,local_government_office,point_of_interest",1301,East Jefferson Avenue,Detroit,,Michigan,Wayne County,United States,48207
Detroit Police Department,"Michigan, USA",Enough is Enough! Police and Community Partnerships,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-55.pdf,Submission,pdf,42.331427,-83.0457538,"Detroit, MI, USA",ChIJdR3LEAHKJIgR0sS5NU6Gdlc,"locality,political",,,Detroit,,Michigan,Wayne County,United States,
